Testing with varying N, fixed P = 16
N          Prob(b)              Avg Lifetime (s)          Elapsed Time (s)         
1000       0.501000             0.000080                  0.014688                 
5000       0.501000             0.000081                  0.032232                 
10000      0.502300             0.000080                  0.062760                 
50000      0.499680             0.000075                  0.273501                 

Testing with varying P, fixed N = 1000000
P          Prob(b)              Avg Lifetime (s)          Elapsed Time (s)         
1          0.500252             0.000062                  61.591605                
2          0.499994             0.000062                  30.921346                
4          0.499000             0.000062                  15.906001                
8          0.500490             0.000062                  7.902425                 
16         0.500493             0.000063                  3.999454                 
